field_name,data_type,not_null,unique,default,comment
patient_id,string,True,False,None,""
encounter_id,string,True,False,None,""
report_id,string,True,False,None,""
parent_id,string,False,False,None,"Parent ID (e.g. radiology order id), if applicable"
category,report_category,False,False,None,"- `clinical`: Clinical Note (e.g. progress note, discharge summary)
- `diagnostic`: Diagnostic Report (e.g., radiology, pathology)"
status,report_status,False,False,unknown,"- `registered`: Registered
- `partial`: Partial
- `preliminary`: Preliminary
- `final`: Final
- `amended`: Amended
- `corrected`: Corrected
- `appended`: Appended
- `cancelled`: Cancelled
- `entered-in-error`: Entered in Error
- `deprecated`: Deprecated
- `unknown`: Unknown

[FHIR: Composition Status](http://hl7.org/fhir/ValueSet/composition-status)"
name,user_defined,True,False,None,Report title
entry_date,datetime,False,False,None,""
signed_date,datetime,False,False,None,""
seq,int,True,False,1,Line numberif note or report text is segmented into multiple rows.
text,string,True,False,None,Report text
entry_provider_id,string,False,False,None,""
request_provider_id,string,False,False,None,""
signed_provider_id,string,False,False,None,""
extra,json,False,False,None,"Additional data not included in the model, in JSON format"
created_at,datetime,False,False,None,Timestamp when the record was initially created in the database.
updated_at,datetime,True,False,CURRENT_TIMESTAMP(),Timestamp of last update
deleted_at,datetime,False,False,None,Timestamp of when the record is deleted or inactivated
